helyezes: 1, ember: 1, pontok: 7, sportag: atletika, verseny: kalapacsvetes
helyezes: 1, ember: 1, pontok: 7, sportag: uszas, verseny: 400m_gyorsuszas
helyezes: 1, ember: 1, pontok: 7, sportag: birkozas, verseny: kotott_fogas_legsuly
helyezes: 1, ember: 1, pontok: 7, sportag: torna, verseny: talajtorna
helyezes: 1, ember: 1, pontok: 7, sportag: torna, verseny: felemas_korlat
helyezes: 1, ember: 1, pontok: 7, sportag: vivas, verseny: kardvivas_egyeni
helyezes: 1, ember: 1, pontok: 7, sportag: okolvivas, verseny: nagyvaltosuly
helyezes: 1, ember: 1, pontok: 7, sportag: uszas, verseny: 200m_melluszas
helyezes: 1, ember: 1, pontok: 7, sportag: birkozas, verseny: kotott_fogas_valtosuly
helyezes: 1, ember: 1, pontok: 7, sportag: uszas, verseny: 100m_gyorsuszas
helyezes: 1, ember: 1, pontok: 7, sportag: sportloveszet, verseny: onmukodo_sportpisztoly
helyezes: 1, ember: 15, pontok: 7, sportag: labdarugas, verseny: ferfi_csapat
helyezes: 1, ember: 3, pontok: 7, sportag: ottusa, verseny: ferfi_csapat
helyezes: 1, ember: 6, pontok: 7, sportag: vivas, verseny: kardvivas_csapat
helyezes: 1, ember: 5, pontok: 7, sportag: uszas, verseny: 4x100m_gyorsuszo_valto
helyezes: 1, ember: 13, pontok: 7, sportag: vizilabda, verseny: ferfi_csapat
helyezes: 2, ember: 1, pontok: 5, sportag: ottusa, verseny: ottusa_egyeni
helyezes: 2, ember: 1, pontok: 5, sportag: vivas, verseny: torvivas_egyeni
helyezes: 2, ember: 1, pontok: 5, sportag: vivas, verseny: kardvivas_egyeni
helyezes: 2, ember: 1, pontok: 5, sportag: sportloveszet, verseny: onmukodo_sportpisztoly
helyezes: 2, ember: 1, pontok: 5, sportag: uszas, verseny: 400m_gyorsuszas
helyezes: 2, ember: 1, pontok: 5, sportag: uszas, verseny: 200m_melluszas
helyezes: 2, ember: 1, pontok: 5, sportag: kajak-kenu, verseny: kenu_egyes_10000m
helyezes: 2, ember: 1, pontok: 5, sportag: kajak-kenu, verseny: kajak_egyes_1000m
helyezes: 2, ember: 1, pontok: 5, sportag: birkozas, verseny: kotott_fogas_pehelysuly
helyezes: 2, ember: 8, pontok: 5, sportag: torna, verseny: noi_osszetett_csapat
helyezes: 3, ember: 1, pontok: 4, sportag: sportloveszet, verseny: sportpisztoly
helyezes: 3, ember: 1, pontok: 4, sportag: vivas, verseny: kardvivas_egyeni
helyezes: 3, ember: 1, pontok: 4, sportag: atletika, verseny: tavolugras
helyezes: 3, ember: 1, pontok: 4, sportag: birkozas, verseny: szabad_fogas_kozepsuly
helyezes: 3, ember: 1, pontok: 4, sportag: torna, verseny: felemas_korlat
helyezes: 3, ember: 1, pontok: 4, sportag: torna, verseny: osszetett_egyeni
helyezes: 3, ember: 1, pontok: 4, sportag: torna, verseny: gerenda
helyezes: 3, ember: 1, pontok: 4, sportag: torna, verseny: talajtorna
helyezes: 3, ember: 1, pontok: 4, sportag: atletika, verseny: kalapacsvetes
helyezes: 3, ember: 1, pontok: 4, sportag: atletika, verseny: 50km_gyaloglas
helyezes: 3, ember: 1, pontok: 4, sportag: ottusa, verseny: ottusa_egyeni
helyezes: 3, ember: 1, pontok: 4, sportag: uszas, verseny: 100m_gyorsuszas
helyezes: 3, ember: 4, pontok: 4, sportag: atletika, verseny: 4x100m_valtofutas
helyezes: 3, ember: 2, pontok: 4, sportag: kajak-kenu, verseny: kenu_kettes_10000m
helyezes: 3, ember: 8, pontok: 4, sportag: torna, verseny: keziszer_csapat
helyezes: 3, ember: 6, pontok: 4, sportag: vivas, verseny: torvivas_csapat
helyezes: 4, ember: 1, pontok: 3, sportag: torna, verseny: gerenda
helyezes: 4, ember: 1, pontok: 3, sportag: uszas, verseny: 200m_mell
helyezes: 4, ember: 1, pontok: 3, sportag: birkozas, verseny: kotottfogas_felnehezsuly
helyezes: 4, ember: 1, pontok: 3, sportag: torna, verseny: talaj
helyezes: 4, ember: 1, pontok: 3, sportag: birkozas, verseny: kotottfogas_kozepsuly
helyezes: 4, ember: 1, pontok: 3, sportag: birkozas, verseny: kotottfogas_konnyusuly
helyezes: 5, ember: 1, pontok: 2, sportag: okolvivas, verseny: pehelysuly
helyezes: 5, ember: 1, pontok: 2, sportag: okolvivas, verseny: konnyusuly
helyezes: 5, ember: 1, pontok: 2, sportag: uszas, verseny: 100m_gyors
helyezes: 5, ember: 1, pontok: 2, sportag: atletika, verseny: diszkoszvetes
helyezes: 5, ember: 1, pontok: 2, sportag: vivas, verseny: parbajtor_egyeni
helyezes: 5, ember: 2, pontok: 2, sportag: kajak-kenu, verseny: kenu_kettes_1000m
helyezes: 5, ember: 2, pontok: 2, sportag: kerekparozas, verseny: ketuleses_verseny
helyezes: 5, ember: 4, pontok: 2, sportag: uszas, verseny: 4�200m_gyorsvalto
helyezes: 5, ember: 5, pontok: 2, sportag: vivas, verseny: parbajtor_csapat
helyezes: 6, ember: 1, pontok: 1, sportag: birkozas, verseny: kotottfogas_legsuly
helyezes: 6, ember: 1, pontok: 1, sportag: kajak-kenu, verseny: kajak_egyes_500m
helyezes: 6, ember: 1, pontok: 1, sportag: torna, verseny: osszetett_egyeni
helyezes: 6, ember: 1, pontok: 1, sportag: kerekparozas, verseny: repuloverseny
helyezes: 6, ember: 1, pontok: 1, sportag: uszas, verseny: 400m_gyors
helyezes: 6, ember: 1, pontok: 1, sportag: torna, verseny: felemaskorlat
helyezes: 6, ember: 8, pontok: 1, sportag: torna, verseny: osszetett_csapat
